,Highest,Open,Close
0,24194.82,23644.64,23293.32
0,23509.68,23296.36,23268.01
0,23459.89,23266.9,22987.79
0,23647.68,22985.93,22818.37
0,23223.32,22816.91,22622.98
0,23472.86,22622.41,23312.42
0,23354.36,23313.56,22954.21
0,23402.0,22954.21,23174.39
0,24245.0,23174.39,23810.0
0,23933.25,23810.98,23149.95
0,24226.0,23151.32,23954.05
0,24918.54,23954.05,23934.39
0,24456.5,23933.09,24403.68
0,24888.0,24401.7,24441.38
0,25047.56,24443.06,24305.24
0,25211.32,24305.25,24094.82
0,24247.49,24093.04,23854.74
0,24446.71,23856.15,23342.66
0,23600.0,23342.66,23191.2
0,23208.67,23191.45,20834.39
0,21382.85,20834.39,21140.07
0,21800.0,21140.07,21515.61
0,21548.71,21516.7,21399.83
0,21684.87,21400.75,21529.12
0,21900.0,21529.11,21368.08
0,21819.88,21368.05,21559.04
0,21886.77,21559.04,20241.05
0,20402.93,20239.14,20037.6
0,20171.18,20037.6,19555.61
0,20433.62,19555.61,20285.73
0,20576.25,20287.2,19811.66
0,20490.0,19813.03,20050.02
0,20208.37,20048.44,20131.46
0,20441.26,20132.64,19951.86
0,20055.93,19950.98,19831.9
0,20029.23,19832.45,20000.3
0,20057.27,20000.3,19796.84
0,20180.0,19795.34,18790.61
0,19464.06,18790.61,19292.84
0,19458.25,19292.85,19319.77
0,21597.22,19320.54,21360.11
0,21810.8,21361.62,21648.34
0,21860.0,21647.21,21826.87
0,22488.0,21826.87,22395.74
0,22799.0,22395.44,20173.57
0,20541.48,20173.62,20226.71
0,20330.24,20227.17,19701.88
0,19890.0,19701.88,19803.3
0,20189.0,19803.3,20113.62
0,20117.26,20112.61,19416.18
0,19686.2,19417.45,19537.02
0,19634.62,19537.02,18875.0
0,19956.0,18874.31,18461.36
0,19550.17,18461.36,19401.63
0,19500.0,19401.63,19289.91
0,19316.14,19288.57,18920.5
0,19180.21,18921.99,18807.38
0,19318.96,18809.13,19227.82
0,20385.86,19226.68,19079.13
0,19790.0,19078.1,19412.82
0,19645.52,19412.82,19591.51
0,20185.0,19590.54,19422.61
0,19484.0,19422.61,19310.95
0,19395.91,19312.24,19056.8
0,19719.1,19057.74,19629.08
0,20475.0,19629.08,20337.82
0,20365.6,20337.82,20158.26
0,20456.6,20158.26,19960.67
0,20068.82,19960.67,19530.09
0,19627.38,19530.09,19417.96
0,19558.0,19416.52,19439.02
0,19525.0,19439.96,19131.87
0,19268.09,19131.87,19060.0
0,19238.31,19060.0,19155.53
0,19513.79,19155.1,19375.13
0,19951.87,19375.58,19176.93
0,19227.68,19176.93,19069.39
0,19425.84,19068.4,19262.98
0,19676.96,19262.98,19549.86
0,19706.66,19548.48,19327.44
0,19360.16,19327.44,19123.97
0,19347.82,19123.35,19041.92
0,19250.0,19041.92,19164.37
0,19257.0,19164.37,19204.35
0,19695.0,19204.29,19570.4
0,19601.15,19570.4,19329.72
0,20415.87,19330.6,20080.07
0,21020.0,20079.02,20771.59
0,20872.21,20771.61,20295.11
0,20750.0,20295.11,20591.84
0,21085.0,20591.84,20809.67
0,20931.21,20809.68,20627.48
0,20845.92,20627.48,20490.74
0,20700.0,20490.74,20483.62
0,20800.0,20482.81,20151.84
0,20393.32,20151.84,20207.82
0,21302.05,20207.12,21148.52
0,21480.65,21148.52,21299.37
0,21365.27,21299.37,20905.58
0,21069.77,20905.58,20591.13
0,20700.88,20590.67,18547.23
0,18587.76,18545.38,15922.81
0,18199.0,15922.68,17601.15
0,17695.0,17602.45,17070.31
0,17119.1,17069.98,16812.08
0,16954.28,16813.16,16329.85
0,17190.0,16331.78,16619.46
0,17134.69,16617.72,16900.57
0,17015.92,16900.57,16662.76
0,16751.0,16661.61,16692.56
0,17011.0,16692.56,16700.45
0,16822.41,16699.43,16700.68
0,16753.33,16700.68,16280.23
0,16319.0,16279.5,15781.29
0,16315.0,15781.29,16226.94
0,16706.0,16227.96,16603.11
0,16812.63,16603.11,16598.95
0,16666.0,16599.55,16522.14
0,16701.99,16521.35,16458.57
0,16600.0,16457.61,16428.78
0,16487.04,16428.77,16212.91
0,16548.71,16212.18,16442.53
0,17249.0,16442.91,17163.64
0,17324.0,17165.53,16977.37
0,17105.73,16978.0,17092.74
0,17188.98,17092.13,16885.2
0,17202.84,16885.2,17105.7
0,17424.25,17106.65,16966.35
0,17107.01,16966.35,17088.96
0,17142.21,17088.96,16836.64
0,17299.0,16836.64,17224.1
0,17360.0,17224.1,17128.56
0,17227.72,17128.56,17127.49
0,17270.99,17127.49,17085.05
0,17241.89,17085.05,17209.83
0,18000.0,17208.93,17774.7
0,18387.95,17775.82,17803.15
0,17854.82,17804.01,17356.34
0,17531.73,17356.96,16632.12
0,16796.82,16631.5,16776.52
0,16863.26,16777.54,16738.21
0,16815.99,16739.0,16438.88
0,17061.27,16438.88,16895.56
0,16925.0,16896.15,16824.67
0,16868.52,16824.68,16821.43
0,16955.14,16821.9,16778.5
0,16869.99,16778.52,16836.12
0,16857.96,16835.73,16832.11
0,16944.52,16832.11,16919.39
0,16972.83,16919.39,16706.36
0,16785.19,16706.06,16547.31
0,16664.41,16547.32,16633.47
0,16677.35,16633.47,16607.48
0,16644.09,16607.48,16542.4
0,16628.0,16541.77,16616.75
0,16799.23,16617.17,16672.87
0,16778.4,16672.78,16675.18
0,16991.87,16675.65,16850.36
0,16879.82,16850.36,16831.85
0,17041.0,16831.85,16950.65
0,16981.91,16950.31,16943.57
0,17176.99,16943.83,17127.83
0,17398.8,17127.83,17178.26
0,17499.0,17179.04,17440.66
0,18000.0,17440.64,17943.26
0,19117.04,17943.26,18846.62
0,20000.0,18846.62,19930.01
0,21258.0,19930.01,20954.92
0,21050.74,20952.76,20871.5
0,21474.05,20872.99,21185.65
0,21647.45,21185.65,21134.81
0,21650.0,21132.29,20677.47
0,21192.0,20677.47,21071.59
0,22755.93,21071.59,22667.21
0,23371.8,22666.0,22783.55
0,23078.71,22783.35,22707.88
0,23180.0,22706.02,22916.45
0,23162.2,22917.81,22632.89
0,23816.73,22631.94,23060.94
0,23282.47,23060.42,23009.65
0,23500.0,23009.65,23074.16
0,23189.0,23074.16,23022.6
0,23960.54,23021.4,23742.3
0,23800.51,23743.37,22826.15
0,23320.0,22827.38,23125.13
0,23812.66,23125.13,23732.66
0,24255.0,23731.41,23488.94
0,23715.7,23489.33,23431.9
0,23587.78,23431.9,23326.84
0,23433.33,23327.66,22932.91
0,23158.25,22932.91,22762.52
0,23350.25,22762.52,23240.46
0,23452.0,23242.42,22963.0
0,23011.39,22961.85,21796.35
0,21938.16,21797.83,21625.19
